IPK,Pendapatan_Orang_Tua,Prestasi_Akademik,Prestasi_Non_Akademik,Keikutsertaan_Organisasi,Diterima_Beasiswa
3.55,7.15,3.0,2,5,1.0
3.8,1.0,2.0,2,5,1.0
3.58,7.9,2.0,1,5,1.0
3.16,7.44,0.0,1,0,1.0
3.65,8.61,2.0,5,2,1.0
3.06,5.01,2.0,5,0,1.0
2.77,10.12,1.0,1,1,1.0
3.36,9.08,5.0,3,4,1.0
3.09,12.52,4.0,0,0,1.0
3.48,10.99,3.0,1,1,1.0
3.42,11.45,0.0,0,5,1.0
2.31,11.61,3.0,3,4,1.0
3.05,2.15,4.0,4,5,1.0
3.22,12.68,4.0,5,4,1.0
4.0,1.0,2.0,1,3,1.0
3.24,9.62,3.0,0,1,1.0
4.0,3.43,0.0,2,2,1.0
3.04,1.53,3.0,0,4,1.0
3.67,8.75,1.0,5,5,1.0
3.08,7.69,3.0,2,4,1.0
2.87,7.58,4.0,4,3,1.0
2.93,10.83,0.0,5,3,1.0
2.54,11.99,1.0,0,5,1.0
3.3,13.85,1.0,5,1,1.0
3.61,9.91,3.0,3,1,1.0
3.41,3.61,0.0,1,5,1.0
3.03,1.0,2.0,0,2,1.0
3.52,11.77,1.0,4,0,1.0
2.69,10.61,1.0,4,0,1.0
3.1,11.98,5.0,2,1,1.0
3.18,5.51,0.0,4,5,1.0
3.57,9.67,2.0,4,3,1.0
3.34,14.68,2.0,4,2,1.0
3.0,7.75,4.0,5,5,1.0
2.75,2.76,4.0,4,2,1.0
2.86,4.99,4.0,4,1,1.0
3.07,11.94,4.0,1,0,1.0
3.03,2.59,3.0,3,4,1.0
3.56,3.53,4.0,4,2,1.0
2.87,10.74,0.0,0,3,1.0
2.94,6.23,4.0,1,5,1.0
2.77,4.61,4.0,3,2,1.0
2.96,6.49,3.0,2,3,1.0
3.24,9.26,0.0,2,4,1.0
4.0,3.88,3.0,0,2,1.0
3.83,6.26,2.0,4,3,1.0
3.54,8.68,2.0,1,1,1.0
2.75,8.77,3.0,4,5,1.0
3.26,8.01,2.0,3,0,1.0
3.78,7.9,1.0,5,1,1.0
3.29,11.44,1.0,5,1,1.0
3.66,7.95,3.0,4,0,1.0
3.17,14.35,4.0,2,5,1.0
3.58,7.73,0.0,5,4,1.0
3.45,9.69,5.0,1,0,1.0
2.93,11.36,0.0,1,3,1.0
3.55,9.53,3.0,0,3,1.0
3.05,14.25,4.0,2,0,1.0
3.12,2.27,0.0,1,2,1.0
3.56,7.46,2.0,0,2,1.0
3.47,10.82,0.0,1,1,1.0
3.56,13.1,1.0,0,5,1.0
3.52,7.55,4.0,0,5,1.0
3.51,14.88,5.0,1,0,1.0
2.77,6.26,2.0,4,0,1.0
3.29,6.75,1.0,4,4,1.0
3.51,2.55,3.0,2,1,1.0
3.8,9.2,0.0,3,4,1.0
4.0,9.28,0.0,2,1,1.0
3.25,9.28,3.0,3,0,1.0
3.62,14.57,5.0,0,4,1.0
3.28,9.44,5.0,3,0,1.0
2.88,8.75,1.0,4,5,1.0
3.39,5.94,5.0,2,1,1.0
2.71,3.62,1.0,5,5,1.0
3.32,8.0,0.0,5,1,1.0
3.39,11.08,2.0,2,4,1.0
3.47,11.18,0.0,4,2,1.0
2.89,8.87,0.0,0,5,1.0
3.45,10.25,2.0,0,5,1.0
2.95,17.29,0.0,4,2,1.0
3.25,12.12,1.0,3,2,1.0
3.32,8.07,3.0,5,4,1.0
3.62,7.43,1.0,1,5,1.0
2.79,1.0,1.0,5,1,1.0
3.13,10.64,0.0,2,2,1.0
3.32,5.33,4.0,0,3,1.0
2.86,13.24,4.0,1,4,1.0
3.27,8.92,1.0,4,3,1.0
2.93,3.74,5.0,3,2,1.0
3.26,3.47,4.0,2,2,1.0
2.97,5.72,5.0,2,4,1.0
2.82,10.68,3.0,2,0,1.0
3.65,9.69,4.0,2,4,1.0
3.26,2.03,5.0,3,1,1.0
3.18,9.11,4.0,5,3,1.0
3.98,1.0,2.0,4,1,1.0
3.55,7.43,4.0,1,5,1.0
3.43,2.68,0.0,4,3,1.0
3.44,5.81,5.0,5,4,1.0
3.63,9.56,2.0,3,5,1.0
3.31,7.82,5.0,3,0,1.0
3.35,9.12,5.0,3,0,1.0
3.43,12.91,2.0,2,5,1.0
3.61,12.66,2.0,3,1,1.0
3.64,8.47,2.0,5,3,1.0
2.74,16.84,0.0,2,3,1.0
2.44,8.13,2.0,2,4,1.0
3.11,3.08,5.0,3,0,1.0
3.72,5.49,0.0,0,5,1.0
2.8,1.32,0.0,2,5,1.0
3.21,11.63,3.0,2,2,1.0
2.7,7.63,1.0,0,1,1.0
3.28,7.54,2.0,0,5,1.0
3.36,9.03,4.0,3,1,1.0
2.62,11.0,3.0,5,5,1.0
3.22,14.23,4.0,3,1,1.0
3.63,6.15,5.0,4,2,1.0
3.55,8.6,0.0,0,1,1.0
4.0,7.82,0.0,5,2,1.0
2.92,1.0,0.0,4,5,1.0
3.6,7.49,2.0,0,3,1.0
3.79,8.28,2.0,2,1,1.0
2.49,6.04,5.0,5,4,1.0
3.02,5.47,1.0,2,1,1.0
3.52,5.31,1.0,0,5,1.0
2.54,6.82,5.0,3,2,1.0
2.66,6.42,1.0,2,4,1.0
3.11,11.79,5.0,1,1,1.0
3.32,6.55,0.0,2,4,1.0
3.17,3.94,1.0,2,3,1.0
3.33,3.11,0.0,0,2,1.0
2.64,8.51,5.0,0,4,1.0
2.89,10.2,0.0,3,0,1.0
3.44,8.02,0.0,2,1,1.0
2.02,2.43,0.0,5,5,1.0
2.83,8.43,0.0,0,1,1.0
3.33,12.22,2.0,5,2,1.0
3.94,3.06,3.0,1,4,1.0
3.13,7.39,2.0,0,0,1.0
3.56,11.87,1.0,1,4,1.0
4.0,3.41,1.0,2,0,1.0
3.17,3.8,3.0,5,2,1.0
3.71,11.09,4.0,0,3,1.0
3.36,5.46,2.0,4,1,1.0
3.63,2.41,1.0,0,0,1.0
3.58,6.97,4.0,5,5,1.0
2.75,9.76,4.0,2,3,1.0
2.53,6.92,4.0,3,4,1.0
3.31,4.78,5.0,5,1,1.0
2.99,6.43,4.0,0,0,1.0
3.52,1.0,3.0,5,4,1.0
3.18,4.7,4.0,3,3,1.0
3.06,3.8,0.0,5,3,1.0
2.45,12.01,1.0,0,0,1.0
3.07,8.02,3.0,0,4,1.0
3.94,11.61,3.0,2,5,1.0
3.35,6.05,1.0,2,5,1.0
3.19,10.68,0.0,5,2,1.0
3.25,14.78,2.0,2,2,1.0
3.19,2.91,4.0,1,3,1.0
3.53,1.87,1.0,0,5,1.0
2.82,13.45,3.0,5,5,1.0
3.07,6.25,4.0,1,3,1.0
3.19,11.5,3.0,2,2,1.0
3.79,10.44,0.0,5,2,1.0
2.65,5.27,3.0,5,3,1.0
2.88,6.49,4.0,1,5,1.0
2.92,8.95,5.0,3,4,1.0
3.56,7.46,0.0,1,4,1.0
3.29,10.63,2.0,2,2,1.0
3.39,7.5,5.0,0,0,1.0
2.89,5.85,5.0,2,2,1.0
3.04,7.41,2.0,4,1,1.0
3.18,9.72,1.0,3,5,1.0
3.17,3.26,1.0,1,1,1.0
2.83,8.07,1.0,1,2,1.0
3.42,13.83,2.0,1,3,1.0
3.01,1.92,5.0,2,1,1.0
2.24,9.48,1.0,1,1,1.0
3.15,8.17,1.0,5,5,1.0
3.38,6.72,2.0,3,2,1.0
3.01,13.61,1.0,4,4,1.0
3.04,13.18,5.0,3,2,1.0
3.3,1.0,4.0,0,3,1.0
3.86,9.13,3.0,4,2,1.0
3.13,8.61,4.0,4,0,1.0
2.42,10.29,2.0,3,1,1.0
2.76,13.63,3.0,4,5,1.0
4.0,13.15,3.0,3,0,1.0
3.8,3.81,2.0,3,1,1.0
2.62,8.39,4.0,2,2,1.0
2.9,8.88,2.0,3,2,1.0
3.2,6.1,0.0,5,0,1.0
3.26,11.33,0.0,4,3,1.0
3.39,4.21,4.0,0,2,1.0
3.15,1.84,3.0,2,2,1.0
3.37,5.78,1.0,0,4,1.0
4.0,17.71,3.0,3,0,1.0
3.05,6.75,2.0,5,4,1.0
3.49,12.91,2.0,2,5,1.0
2.42,1.55,5.0,0,1,1.0
3.39,6.14,4.0,0,5,1.0
3.08,9.26,2.0,1,2,1.0
3.08,10.93,2.0,2,2,1.0
3.87,7.63,3.0,1,5,1.0
3.57,9.64,3.0,3,0,1.0
3.6,8.43,0.0,5,5,1.0
2.95,9.16,2.0,4,1,1.0
3.5,8.17,1.0,1,0,1.0
2.9,3.62,4.0,1,0,1.0
2.49,4.52,4.0,5,0,1.0
3.13,3.53,0.0,0,5,1.0
2.91,8.76,3.0,5,4,1.0
2.9,1.0,2.0,3,3,1.0
3.35,1.0,0.0,3,3,1.0
2.87,5.29,0.0,0,3,1.0
2.85,2.79,0.0,5,1,1.0
2.76,10.18,2.0,3,5,1.0
2.87,9.27,2.0,5,5,1.0
3.12,12.26,3.0,5,5,1.0
3.97,5.63,3.0,0,1,1.0
3.47,10.79,5.0,0,1,1.0
2.75,6.31,0.0,1,1,1.0
3.63,3.96,3.0,3,4,1.0
3.2,10.64,1.0,0,4,1.0
3.16,5.22,4.0,1,4,1.0
2.92,1.43,5.0,4,4,1.0
2.49,6.49,1.0,4,3,1.0
3.11,8.39,3.0,2,5,1.0
3.24,7.97,4.0,0,2,1.0
2.89,7.05,3.0,4,4,1.0
3.37,6.75,0.0,0,0,1.0
3.04,10.14,1.0,0,0,1.0
3.03,4.62,4.0,0,4,1.0
4.0,9.99,0.0,3,3,1.0
3.43,10.7,5.0,5,5,1.0
3.58,6.12,0.0,1,2,1.0
2.81,5.48,4.0,3,5,1.0
3.15,10.54,2.0,3,5,1.0
2.98,8.78,2.0,3,1,1.0
4.0,11.41,3.0,5,2,1.0
3.5,13.97,1.0,1,3,1.0
3.15,9.7,2.0,2,1,1.0
3.33,8.39,2.0,3,5,1.0
3.02,8.33,1.0,2,5,1.0
3.22,9.05,5.0,1,0,1.0
3.45,9.03,4.0,4,4,1.0
2.39,3.96,5.0,0,5,1.0
2.61,11.29,2.0,2,1,1.0
3.5,8.6,0.0,2,0,1.0
2.83,5.61,3.0,3,0,1.0
2.91,9.28,4.0,5,0,1.0
2.95,10.8,0.0,5,3,1.0
3.35,6.52,1.0,5,2,1.0
1.86,6.38,3.0,5,1,1.0
2.76,7.73,2.0,1,3,1.0
3.36,11.96,4.0,2,3,1.0
2.8,6.45,4.0,3,0,1.0
2.95,1.49,3.0,0,2,1.0
3.01,12.5,5.0,2,5,1.0
3.02,12.02,1.0,2,3,1.0
3.02,7.63,3.0,2,3,1.0
2.54,8.72,3.0,5,0,1.0
3.13,10.08,0.0,4,1,1.0
2.87,7.32,5.0,4,0,1.0
3.12,3.99,3.0,3,1,1.0
3.05,6.71,4.0,5,0,1.0
3.35,9.17,5.0,0,2,1.0
4.0,9.8,1.0,5,2,1.0
3.0,16.64,2.0,3,3,1.0
3.41,9.44,4.0,5,4,1.0
4.0,5.76,4.0,0,4,1.0
2.62,16.5,0.0,5,1,1.0
3.27,4.97,5.0,2,3,1.0
4.0,3.33,2.0,3,0,1.0
3.93,7.62,1.0,2,4,1.0
3.54,6.66,4.0,0,3,1.0
3.3,8.7,4.0,0,5,1.0
3.33,12.8,1.0,2,5,1.0
3.12,5.22,2.0,2,1,1.0
3.31,9.81,1.0,5,2,1.0
2.9,9.4,0.0,5,4,1.0
3.32,6.79,5.0,4,2,1.0
3.45,11.33,4.0,1,1,1.0
2.89,8.52,0.0,5,4,1.0
2.62,7.92,5.0,5,5,1.0
3.19,7.75,2.0,1,0,1.0
3.08,4.67,2.0,3,1,1.0
2.77,5.53,1.0,1,2,1.0
2.74,1.0,1.0,0,5,1.0
3.05,11.5,3.0,0,4,1.0
3.07,14.31,5.0,1,2,1.0
3.06,10.71,1.0,2,4,1.0
3.08,7.62,2.0,0,4,1.0
3.31,5.88,0.0,4,5,1.0
3.32,15.08,2.0,0,3,1.0
2.73,1.11,4.0,4,2,1.0
2.81,6.44,0.0,3,0,1.0
2.78,12.97,0.0,1,2,1.0
2.96,11.84,2.0,4,1,1.0
2.93,5.4,3.0,0,2,1.0
2.93,8.52,2.0,0,4,1.0
3.69,4.42,3.0,0,2,1.0
2.85,11.79,0.0,3,5,1.0
2.48,10.7,1.0,0,4,1.0
3.07,5.84,1.0,0,2,1.0
3.34,1.0,2.0,2,1,1.0
2.95,2.53,4.0,4,0,1.0
3.2,1.0,5.0,0,3,1.0
2.96,8.31,4.0,5,1,1.0
2.95,4.81,3.0,5,1,1.0
2.83,13.36,0.0,2,1,1.0
3.29,11.99,1.0,0,1,1.0
3.71,13.48,0.0,4,3,1.0
2.93,5.94,0.0,5,1,1.0
3.48,4.24,1.0,2,2,1.0
3.37,4.88,0.0,3,3,1.0
3.89,11.01,4.0,1,4,1.0
3.94,13.98,3.0,5,2,1.0
3.55,9.19,0.0,5,5,1.0
3.43,8.13,0.0,1,5,1.0
2.74,10.4,5.0,3,3,1.0
3.74,12.01,0.0,5,1,1.0
3.14,2.5,0.0,3,2,1.0
3.49,10.3,2.0,4,0,1.0
2.22,3.28,1.0,5,3,1.0
3.29,5.31,0.0,2,0,1.0
3.18,5.8,3.0,1,5,1.0
2.97,11.54,5.0,2,4,1.0
2.51,5.6,2.0,0,2,1.0
3.2,8.54,3.0,3,2,1.0
2.98,5.16,2.0,5,3,1.0
3.31,6.65,1.0,0,0,1.0
2.6,12.84,3.0,2,0,1.0
2.76,7.99,1.0,2,1,1.0
3.42,11.91,0.0,2,2,1.0
3.52,10.15,1.0,4,3,1.0
2.92,5.03,3.0,4,4,1.0
3.01,10.54,5.0,1,2,1.0
2.87,10.12,1.0,1,1,1.0
3.64,7.91,3.0,0,0,1.0
3.46,12.77,3.0,1,1,1.0
2.97,12.54,3.0,2,1,1.0
2.61,5.17,4.0,5,4,1.0
2.99,12.43,4.0,4,3,1.0
3.2,5.55,3.0,5,0,1.0
3.98,8.72,1.0,0,5,1.0
2.96,7.29,2.0,3,0,1.0
2.54,3.76,2.0,4,2,1.0
3.21,8.02,4.0,5,4,1.0
2.96,9.15,0.0,0,2,1.0
2.94,6.69,4.0,4,0,1.0
3.61,6.22,2.0,5,2,1.0
3.53,12.99,1.0,4,0,1.0
3.08,9.49,2.0,2,2,1.0
2.52,4.76,2.0,5,1,1.0
2.48,5.04,5.0,4,3,1.0
2.72,3.88,1.0,1,5,1.0
3.18,4.93,0.0,1,5,1.0
2.85,9.67,4.0,1,1,1.0
2.61,8.19,1.0,0,2,1.0
2.99,9.01,3.0,4,0,1.0
3.52,14.6,3.0,5,1,1.0
3.08,7.49,2.0,5,1,1.0
3.08,8.88,4.0,5,1,1.0
2.97,14.82,0.0,2,3,1.0
2.57,11.16,4.0,2,0,1.0
2.53,11.71,4.0,3,1,1.0
4.0,9.21,4.0,1,2,1.0
3.21,6.16,4.0,0,4,1.0
2.92,10.04,1.0,3,1,1.0
2.87,7.21,3.0,5,3,1.0
2.76,1.43,2.0,2,1,1.0
3.51,9.71,5.0,5,1,1.0
3.94,2.83,4.0,0,2,1.0
3.01,7.72,2.0,3,5,1.0
3.54,5.93,5.0,3,4,1.0
3.09,2.86,4.0,4,5,1.0
2.57,15.13,1.0,4,0,1.0
2.75,16.86,1.0,5,0,1.0
3.0,9.71,2.0,5,2,1.0
3.42,3.38,5.0,0,1,1.0
2.98,9.91,2.0,3,3,1.0
3.36,11.3,5.0,5,3,1.0
3.46,8.67,1.0,1,3,1.0
3.39,1.96,1.0,0,5,1.0
3.25,10.56,0.0,1,3,1.0
3.29,6.94,3.0,5,2,1.0
2.85,4.67,5.0,5,5,1.0
2.85,2.9,2.0,4,2,1.0
2.74,12.84,0.0,3,4,1.0
3.59,11.92,4.0,2,1,1.0
3.08,8.47,1.0,4,4,1.0
3.38,9.97,0.0,3,3,1.0
3.51,12.11,3.0,1,4,1.0
4.0,1.0,3.0,1,4,1.0
3.13,5.55,3.0,4,2,1.0
3.82,10.85,4.0,4,1,1.0
3.31,10.75,0.0,4,2,1.0
3.31,14.0,5.0,0,1,1.0
2.93,12.24,5.0,1,4,1.0
3.64,7.71,1.0,3,4,1.0
3.27,5.43,0.0,4,0,1.0
2.82,13.95,5.0,1,4,1.0
3.6,11.13,1.0,5,5,1.0
2.59,5.79,2.0,5,3,1.0
3.23,6.86,3.0,2,3,1.0
3.42,15.16,3.0,3,0,1.0
3.69,8.92,1.0,1,0,1.0
4.0,13.61,5.0,0,5,1.0
3.33,9.65,1.0,1,3,1.0
3.42,5.18,4.0,1,3,1.0
3.51,11.36,1.0,3,5,1.0
2.83,3.48,0.0,4,3,1.0
3.84,6.61,1.0,4,4,1.0
3.25,1.28,3.0,5,4,1.0
3.29,15.27,1.0,0,1,1.0
2.84,6.12,2.0,4,3,1.0
2.75,6.71,1.0,2,5,1.0
3.54,8.12,3.0,4,4,1.0
3.21,1.95,4.0,4,0,1.0
2.73,3.25,2.0,1,3,1.0
3.77,12.0,2.0,4,3,1.0
2.64,11.37,4.0,1,2,1.0
3.13,3.64,0.0,0,4,1.0
3.78,9.69,3.0,2,4,1.0
2.87,5.66,0.0,3,3,1.0
3.78,7.19,5.0,5,0,1.0
3.32,10.8,4.0,4,0,1.0
3.44,3.37,4.0,3,0,1.0
3.17,17.13,1.0,3,3,1.0
3.97,15.12,4.0,5,3,1.0
2.94,11.9,3.0,0,3,1.0
2.19,3.93,1.0,1,1,1.0
3.37,7.04,3.0,0,0,1.0
3.1,1.0,3.0,1,1,1.0
2.8,8.08,0.0,2,3,1.0
3.79,8.43,2.0,4,2,1.0
4.0,9.85,4.0,3,5,1.0
3.15,11.0,5.0,5,1,1.0
3.1,18.51,5.0,5,4,1.0
2.94,1.5,1.0,5,0,1.0
3.61,13.44,5.0,4,3,1.0
2.9,11.0,1.0,3,4,1.0
3.0,5.67,0.0,2,5,1.0
3.42,4.71,2.0,0,5,1.0
3.64,12.41,0.0,3,5,1.0
2.65,3.19,0.0,0,2,1.0
3.28,12.15,4.0,4,5,1.0
3.32,8.09,1.0,5,1,1.0
3.3,5.58,4.0,4,4,1.0
3.16,2.91,5.0,4,4,1.0
2.89,4.55,2.0,5,2,1.0
2.92,3.57,2.0,3,3,1.0
3.3,7.49,5.0,1,1,1.0
3.37,6.4,5.0,5,0,1.0
2.87,5.33,5.0,2,2,1.0
3.58,10.21,1.0,3,5,1.0
3.39,13.88,5.0,4,1,1.0
3.93,12.64,1.0,0,2,1.0
3.69,7.72,4.0,4,0,1.0
2.95,14.14,3.0,2,1,1.0
3.4,7.97,2.0,2,1,1.0
3.62,8.58,1.0,0,3,1.0
3.13,13.04,3.0,2,3,1.0
2.89,8.0,0.0,1,0,1.0
2.93,4.15,4.0,3,2,1.0
2.72,2.53,1.0,2,3,1.0
3.36,11.13,5.0,4,5,1.0
2.86,1.28,0.0,3,1,1.0
2.68,13.48,4.0,5,2,1.0
3.79,13.55,2.0,2,5,1.0
3.49,7.11,3.0,4,0,1.0
3.68,9.15,5.0,5,4,1.0
3.69,9.07,3.0,2,1,1.0
3.28,7.02,0.0,0,2,1.0
3.21,8.78,1.0,5,1,1.0
2.83,10.18,2.0,5,2,1.0
3.19,12.16,3.0,4,0,1.0
3.19,8.67,5.0,2,4,1.0
3.93,1.82,5.0,1,1,1.0
3.3,7.6,1.0,5,1,1.0
3.5,9.11,4.0,0,3,1.0
2.94,11.2,0.0,5,2,1.0
2.66,7.72,0.0,4,3,1.0
3.37,4.99,1.0,4,0,1.0
3.44,11.69,0.0,1,3,1.0
3.53,11.31,5.0,3,3,1.0
3.2,8.5,3.0,2,3,1.0
3.87,1.0,5.0,4,4,1.0
3.24,7.69,5.0,0,5,1.0
2.64,14.17,1.0,2,0,1.0
3.44,13.0,0.0,2,0,1.0
3.21,11.98,0.0,4,1,1.0
3.43,4.38,0.0,2,4,1.0
3.22,10.82,3.0,1,5,1.0
3.57,11.24,5.0,5,2,1.0
3.7,6.09,5.0,1,4,1.0
3.71,7.98,1.0,2,2,1.0
3.42,13.47,3.0,4,2,1.0
3.43,5.99,3.0,1,3,1.0
2.55,6.71,5.0,4,5,1.0
3.83,12.44,1.0,2,0,1.0
3.09,1.87,4.0,5,4,1.0
3.68,12.44,2.0,0,1,1.0
3.37,10.29,0.0,3,0,1.0
3.56,3.34,5.0,4,4,1.0
2.56,3.12,2.0,4,3,1.0
3.52,5.44,2.0,5,5,1.0
2.93,3.87,1.0,1,2,1.0
3.4,9.58,2.0,3,1,1.0
3.8,11.26,2.0,5,4,1.0
3.36,7.77,3.0,2,3,1.0
3.09,2.64,1.0,2,0,1.0
2.46,5.32,1.0,4,3,1.0
3.46,5.13,2.0,0,3,1.0
2.93,6.75,4.0,2,2,1.0
3.84,12.62,0.0,4,1,1.0
2.84,1.0,1.0,4,1,1.0
3.37,5.38,4.0,5,4,1.0
3.48,12.34,1.0,4,5,1.0
2.7,10.09,1.0,3,1,1.0
3.73,8.39,4.0,2,2,1.0
2.56,12.93,5.0,3,2,1.0
3.12,8.88,5.0,3,5,1.0
3.31,6.34,3.0,4,5,1.0
2.98,10.38,4.0,0,4,1.0
3.49,3.81,2.0,0,0,1.0
2.96,10.38,2.0,2,4,1.0
3.53,9.44,2.0,0,3,1.0
2.93,2.56,1.0,4,4,1.0
3.84,4.37,3.0,2,4,1.0
3.4,9.96,2.0,3,2,1.0
2.98,6.47,3.0,3,0,1.0
3.13,1.0,5.0,5,5,1.0
3.71,1.0,5.0,2,2,1.0
3.58,10.41,2.0,4,3,1.0
3.5,10.72,2.0,2,4,1.0
3.37,14.32,0.0,2,5,1.0
2.92,5.59,3.0,5,5,1.0
3.52,10.14,5.0,3,1,1.0
3.1,12.79,5.0,5,3,1.0
3.34,7.55,0.0,0,3,1.0
3.21,4.66,1.0,5,0,1.0
4.0,15.03,5.0,2,3,1.0
3.53,9.77,5.0,5,5,1.0
3.1,11.86,2.0,5,1,1.0
3.79,14.02,2.0,1,1,1.0
2.95,12.17,2.0,2,4,1.0
2.79,4.97,1.0,0,4,1.0
3.17,8.41,0.0,2,3,1.0
2.98,10.22,5.0,4,0,1.0
2.66,4.98,0.0,4,3,1.0
3.81,5.7,0.0,1,3,1.0
4.0,3.71,1.0,0,4,1.0
2.84,9.06,1.0,3,5,1.0
2.62,11.77,3.0,4,0,1.0
3.18,5.25,4.0,4,5,1.0
2.99,14.52,4.0,4,5,1.0
3.62,6.54,5.0,5,4,1.0
3.32,7.79,5.0,4,0,1.0
3.28,12.67,2.0,3,0,1.0
3.63,8.39,3.0,0,1,1.0
2.9,15.71,2.0,1,4,1.0
2.77,6.26,0.0,2,2,1.0
2.87,10.0,5.0,3,3,1.0
2.91,10.45,1.0,0,3,1.0
3.26,1.96,0.0,0,1,1.0
2.98,1.0,0.0,1,3,1.0
2.34,7.39,0.0,3,0,1.0
3.11,2.93,1.0,3,5,1.0
3.15,6.04,0.0,0,4,1.0
3.69,6.5,1.0,5,0,1.0
2.92,6.77,5.0,2,2,1.0
3.84,3.36,5.0,2,3,1.0
2.84,5.44,5.0,2,0,1.0
3.51,5.05,0.0,3,1,1.0
3.32,15.8,5.0,3,0,1.0
3.59,8.2,5.0,1,2,1.0
3.38,1.0,1.0,0,0,1.0
2.89,7.77,5.0,5,4,1.0
3.53,8.59,0.0,2,2,1.0
3.0,6.67,0.0,5,0,1.0
2.69,6.13,1.0,0,2,1.0
3.48,9.93,1.0,0,5,1.0
3.11,7.22,1.0,3,5,1.0
3.29,4.39,4.0,1,4,1.0
3.71,7.32,5.0,5,1,1.0
3.63,10.11,3.0,5,5,1.0
3.29,11.96,1.0,4,1,1.0
3.78,6.98,5.0,4,1,1.0
3.89,12.97,3.0,4,0,1.0
3.05,3.9,3.0,3,4,1.0
2.8,7.51,4.0,1,2,1.0
2.92,8.63,2.0,2,2,1.0
2.98,3.71,1.0,1,4,1.0
2.94,7.54,5.0,1,5,1.0
3.22,4.62,0.0,3,0,1.0
3.3,9.76,5.0,4,5,1.0
3.29,6.48,3.0,1,1,1.0
3.38,3.46,0.0,3,5,1.0
3.48,9.38,5.0,2,0,1.0
3.04,10.25,1.0,0,1,1.0
4.0,8.65,0.0,5,2,1.0
3.35,10.2,0.0,5,4,1.0
3.57,11.79,2.0,4,3,1.0
3.7,6.78,2.0,1,1,1.0
3.55,10.41,5.0,4,4,1.0
3.23,9.69,4.0,5,4,1.0
3.38,5.69,2.0,3,0,1.0
2.89,9.74,4.0,1,0,1.0
3.33,2.37,2.0,3,2,1.0
3.28,11.57,4.0,1,4,1.0
3.06,7.2,2.0,1,3,1.0
3.23,16.51,0.0,2,4,1.0
2.7,8.59,5.0,0,3,1.0
2.52,4.86,5.0,3,0,1.0
2.83,3.07,1.0,5,0,1.0
3.25,5.14,5.0,3,3,1.0
2.94,7.48,3.0,3,4,1.0
3.1,12.91,1.0,4,4,1.0
3.47,10.17,3.0,2,3,1.0
3.49,11.45,3.0,2,3,1.0
3.23,6.93,5.0,4,0,1.0
2.93,6.19,3.0,3,4,1.0
2.84,2.55,4.0,0,4,1.0
3.39,5.39,1.0,1,1,1.0
3.15,5.21,1.0,3,2,1.0
2.8,1.41,3.0,0,1,1.0
3.01,10.41,0.0,5,3,1.0
2.78,11.64,4.0,3,5,1.0
3.36,7.11,2.0,3,1,1.0
3.45,6.85,1.0,1,5,1.0
3.03,9.41,1.0,1,2,1.0
2.7,10.67,3.0,4,0,1.0
3.94,8.51,3.0,1,1,1.0
2.76,17.13,2.0,4,4,1.0
3.37,8.81,2.0,3,2,1.0
2.96,5.96,0.0,1,0,1.0
2.51,12.72,4.0,0,1,1.0
3.61,5.11,2.0,1,1,1.0
3.4,8.41,1.0,3,3,1.0
3.46,11.76,3.0,0,3,1.0
3.16,3.19,5.0,4,3,1.0
2.97,3.98,2.0,0,4,1.0
3.25,1.0,0.0,0,4,1.0
2.76,8.01,0.0,0,4,1.0
2.69,11.97,1.0,5,1,1.0
3.19,10.94,3.0,0,1,1.0
3.26,8.98,3.0,5,3,1.0
3.2,2.54,1.0,0,1,1.0
2.44,10.14,0.0,4,1,1.0
3.02,6.95,4.0,1,5,1.0
3.03,5.91,2.0,2,3,1.0
3.55,7.63,5.0,3,4,1.0
3.38,8.76,5.0,4,5,1.0
3.19,10.81,2.0,4,0,1.0
3.12,15.45,4.0,4,5,1.0
3.09,10.3,3.0,0,5,1.0
3.79,3.5,0.0,3,1,1.0
3.21,8.61,0.0,0,3,1.0
2.93,11.48,3.0,0,3,1.0
3.2,8.91,4.0,5,3,1.0
2.77,9.88,2.0,2,4,1.0
4.0,1.29,2.0,4,5,1.0
3.3,12.24,3.0,0,2,1.0
2.92,7.68,5.0,2,5,1.0
2.48,9.76,2.0,2,5,1.0
3.01,9.4,0.0,1,5,1.0
3.51,6.73,2.0,2,3,1.0
3.97,7.22,4.0,1,1,1.0
3.37,9.09,5.0,4,0,1.0
3.03,7.56,4.0,4,5,1.0
3.37,6.66,1.0,5,2,1.0
3.03,12.25,3.0,4,0,1.0
3.21,8.2,0.0,5,4,1.0
3.13,2.02,5.0,0,4,1.0
3.13,11.98,3.0,1,4,1.0
2.41,12.77,3.0,0,1,1.0
2.93,13.22,0.0,4,4,1.0
2.58,14.04,4.0,1,2,1.0
3.05,5.75,5.0,1,0,1.0
3.65,7.64,5.0,3,1,1.0
4.0,12.58,4.0,0,5,1.0
3.13,7.89,3.0,5,4,1.0
3.29,4.76,0.0,5,5,1.0
2.97,10.06,1.0,1,1,1.0
3.23,4.55,2.0,5,3,1.0
2.73,9.1,4.0,1,4,1.0
3.63,19.79,5.0,4,0,1.0
2.11,6.24,0.0,2,2,1.0
2.49,8.05,3.0,3,2,1.0
3.39,7.74,2.0,2,4,1.0
3.44,5.32,0.0,3,3,1.0
3.18,2.36,0.0,1,2,1.0
